BYQUEST,BYCOND,DESCRIP_E,DESCRIP_F,DEMCODE 2022-2023
Q93,Q93 = 1,Working on-site,Travaille sur place,1000
Q93,Q93 = 2,Working remotely,Travaille Ö distance,1001
Q93,Q93 = 3,Hybrid Working model,Travaille Ö la fois Ö distance et sur place,1002
Q81,Q81 = 1,Supervisor,Superviseur(e),1003
Q81,Q81 = 2,Non-supervisor,Pas superviseur(e),1004
Q102,Q102 = 1,Shift worker ,Travaille par postes ou quarts,1005
Q102,Q102 = 2,Non-shift worker,Ne travaille pas par postes ou quarts,1006
Q103,Q103 = 1,Full-time,Temps plein,1007
Q103,Q103 = 2,Part-time,Temps partiel,1008
Q104,Q104 = 1,Indeterminate (permanent),IndÇterminÇ (e) (permanent),1009
Q104,Q104 = 2,Seasonal,Saisonnier,1010
Q104,Q104 = 3,Term,DÇterminÇ,1011
Q104,Q104 = 4,Casual,Occasionnel,1012
Q104,Q104 = 5,Student ,êtudiant,1013
Q104,Q104 = 7,Governor-in-council appointee,Nomination par le gouverneur en conseil,1015
Q106,Q106 = 1,Language requirement of position  - Bilingual,Exigences linguistiques du poste - Bilingue,1017
Q106,Q106 = 2,Language requirement of position  - Unilingual English,Exigences linguistiques du poste - Unilingue anglais,1018
Q106,Q106 = 3,Language requirement of position  - Unilingual French,Exigences linguistiques du poste - Unilingue franáais,1019
Q106,Q106 = 4,Language requirement of position  - Either English or French,Exigences linguistiques du poste - L'une ou l'autre des deux langues officielles,1020
Q109,Q109 = 1,Client contact centre,Service Ö la clientäle,1021
Q109,Q109 = 2,Health care practitioners ,Professionnels de la santÇ,1022
Q109,Q109 = 3,Federal regulators,RÇgulateurs fÇdÇraux,1023
Q109,Q109 = 4,"Compliance, inspection and enforcement","ConformitÇ, inspection et mise en application de la loi",1024
Q109,Q109 = 5,Communications or public affairs,Communications ou affaires publiques,1025
Q109,Q109 = 6,Access to information and privacy,Accäs Ö l'information et protection des renseignements personnels,1026
Q109,Q109 = 7,Security,SÇcuritÇ,1027
Q109,Q109 = 8,Science and technology,Sciences et technologie,1028
Q109,Q109 = 9,Library services ,Services de bibliothäques ,1029
Q109,Q109 = 10,Legal services,Services juridiques,1030
Q109,Q109 = 11,Administration and operations,Administration et opÇrations,1031
Q109,Q109 = 12,Human resources,Ressources humaines,1032
Q109,Q109 = 13,Financial management,Gestion financiäre,1033
Q109,Q109 = 14,Procurement,Approvisionnement,1034
Q109,Q109 = 15,Real property ,Gestion des biens immobiliers,1035
Q109,Q109 = 16,Materiel management ,Gestion du matÇriel,1036
Q109,Q109 = 17,Information management ,Gestion de l'information,1037
Q109,Q109 = 18,Information technology,Technologie de l'information ,1038
Q109,Q109 = 19,Internal audit,VÇrification interne,1039
Q109,Q109 = 20,Evaluation,êvaluation,1040
Q109,Q109 = 21,Data sciences,Sciences des donnÇes,1041
Q109,Q109 = 22,Policy,Politiques,1042
Q109,Q109 = 23,Project management,Gestion de projets,1043
Q109,Q109 = 24,Other services to the public,Autres services au public,1044
Q109,Q109 = 25,None of the above,Aucune de ces rÇponses,1045
D110,D110 = 1,Less than 3 years in the federal public service,Moins de trois ans Ö la fonction publique fÇdÇrale,1046
D110,D110 = 2,3 to 10 years in the federal public service,3 Ö 10 ans Ö la fonction publique fÇdÇrale,1047
D110,D110 = 3,11 to 20 years in the federal public service,11 Ö 20 ans Ö la fonction publique fÇdÇrale,1048
D110,D110 = 4,More than 20 years in the federal public service,Plus de 20 ans Ö la fonction publique fÇdÇrale,1049
D111,D111 = 1,Less than 3 years in current department or agency,Moins de trois ans au sein du ministäre ou organisme actuel,1050
D111,D111 = 2,3 to 10 years in current department or agency, 3 Ö 10 ans au sein du ministäre ou organisme actuel,1051
D111,D111 = 3,11 to 20 years in current department or agency,11 Ö 20 ans au sein du ministäre ou organisme actuel ,1052
D111,D111 = 4,More than 20 years in current department or agency,Plus de 20 ans au sein du ministäre ou organisme actuel,1053
Q112,Q112 = 1,First official language - English,Premiäre langue officielle - Anglais,1054
Q112,Q112 = 2,First official language - French,Premiäre langue officielle - Franáais,1055
Q113,Q113 = 1,Provides services to public,Fournit des services au public,1056
Q113,Q113 = 2,Does not provide services to public ,Ne fournit pas de services au public,1057
Q114,Q114 = 1,National Capital Region,RÇgion de la capitale nationale,1058
Q114,Q114 = 2,Ontario (excluding National Capital Region),Ontario (Ö l'exception de la rÇgion de la capitale nationale),1059
Q114,Q114 = 3,Quebec (excluding National Capital Region),QuÇbec (Ö l'exception de la rÇgion de la capitale nationale),1060
Q114,Q114 = 4,Northwest Territories,Territoires du Nord-Ouest,1061
Q114,Q114 = 5,Nunavut,Nunavut,1062
Q114,Q114 = 6,Yukon,Yukon,1063
Q114,Q114 = 7,British Columbia,Colombie-Britannique,1064
Q114,Q114 = 8,Alberta,Alberta,1065
Q114,Q114 = 9,Saskatchewan,Saskatchewan,1066
Q114,Q114 = 10,Manitoba,Manitoba,1067
Q114,Q114 = 11,New Brunswick,Nouveau-Brunswick,1068
Q114,Q114 = 12,Nova Scotia,Nouvelle-êcosse,1069
Q114,Q114 = 13,Prince Edward Island,?le-du-Prince-êdouard,1070
Q114,Q114 = 14,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1071
Q114,Q114 = 15,Outside of Canada,? l'extÇrieur du Canada,1072
Q115,Q115 = 1,"The bilingual region of MontrÇal (the counties of Deux-Montagnes, ?le-de-MontrÇal and ?le-JÇsus, La Prairie, and Vaudreuil)","La rÇgion bilingue de MontrÇal  (les comtÇs de Deux-Montagnes, ?le-de-MontrÇal et ?le-JÇsus, La Prairie et Vaudreuil)",1073
Q115,Q115 = 2,"The bilingual regions of other parts of Quebec (the counties of Bonaventure, GaspÇ-Est, Brome, Compton, Huntingdon, Missisquoi, Richmond, Sherbrooke, Stanstead, Argenteuil and Pontiac)","Les rÇgions bilingues d'autres secteurs du QuÇbec (les comtÇs de Bonaventure, GaspÇ-Est, Brome, Compton, Huntingdon, Missisquoi, Richmond, Sherbrooke, Stanstead, Argenteuil et Pontiac ) ",1074
Q115,Q115 = 3,"The bilingual region of Eastern Ontario (the counties of Glengarry, Prescott, Russell and Stormont)","La rÇgion bilingue de l'Est ontarien (les comtÇs de Glengarry, Prescott, Russell et Stormont)",1075
Q115,Q115 = 4,"The bilingual region of Northern Ontario (the counties of Algoma, Cochrane, Nipissing, Sudbury and Timiskaming)","La rÇgion bilingue du Nord de l'Ontario (les comtÇs d'Algoma, Cochrane, Nipissing, Sudbury et Timiskaming)",1076
Q115,Q115 = 5,I do not work in one of these areas,Je ne travaille dans aucune de ces rÇgions,1077
Q116,Q116 = 1,Age - 24 years and under,?ge - 24 ans et moins,1078
Q116,Q116 = 2,Age - 25 - 29 years,?ge - 25 Ö 29 ans,1079
Q116,Q116 = 3,Age - 30 - 34 years,?ge - 30 Ö 34 ans,1080
Q116,Q116 = 4,Age - 35 - 39 years,?ge - 35 Ö 39 ans,1081
Q116,Q116 = 5,Age - 40 - 44 years,?ge - 40 Ö 44 ans,1082
Q116,Q116 = 6,Age - 45 - 49 years,?ge - 45 Ö 49 ans,1083
Q116,Q116 = 7,Age - 50 - 54 years,?ge - 50 Ö 54 ans,1084
Q116,Q116 = 8,Age - 55 - 59 years,?ge - 55 Ö 59 ans,1085
Q116,Q116 = 9,Age - 60 years and over,?ge - 60 ans et plus,1086
Q117,Q117 = 1,Man,Homme,1087
Q117,Q117 = 2,Woman,Femme,1088
Q117,Q117 = 3,Another gender,Un autre genre,1089
D118,D118 = 1,Persons with a disability (total),Personnes en situation de handicap (totale),1090
D118A,D118A = 1,Seeing disability ,"Personnes en situation de handicap, trouble de la vision",1091
D118A,D118A = 2,"Persons with a disability, seeing disability not selected","Personnes en situation de handicap, trouble de la vision non sÇlectionnÇe",1092
D118B,D118B = 1,Hearing disability,"Personnes en situation de handicap, trouble de l?audition",1093
D118B,D118B = 2,"Persons with a disability, hearing disability not selected","Personnes en situation de handicap, trouble de l?audition non sÇlectionnÇe",1094
D118C,D118C = 1,Speech disability,"Personnes en situation de handicap, trouble de la parole",1095
D118C,D118C = 2,"Persons with a disability, speech disability not selected","Personnes en situation de handicap, trouble de la parole non sÇlectionnÇe",1096
D118D,D118D = 1,Mobility disability,"Personnes en situation de handicap, probläme de mobilitÇ",1097
D118D,D118D = 2,"Persons with a disability, mobility disability not selected","Personnes en situation de handicap, probläme de mobilitÇ non sÇlectionnÇe",1098
D118E,D118E = 1,Challenges with flexibility or dexterity,"Personnes en situation de handicap, probläme de flexibilitÇ ou de dextÇritÇ",1099
D118E,D118E = 2,"Persons with a disability, challenges with flexibility or dexterity not selected","Personnes en situation de handicap, probläme de flexibilitÇ ou de dextÇritÇ non sÇlectionnÇe",1100
D118F,D118F = 1,Mmental health disability,"Personnes en situation de handicap, probläme de santÇ mentale",1101
D118F,D118F = 2,"Persons with a disability, mental health disability not selected","Personnes en situation de handicap, probläme de santÇ mentale non sÇlectionnÇe",1102
D118G,D118G = 1,Ssensory or environmental disability,"Personnes en situation de handicap, trouble sensoriel ou liÇ Ö l?environnement",1103
D118G,D118G = 2,"Persons with a disability, sensory or environmental disability not selected","Personnes en situation de handicap, trouble sensoriel ou liÇ Ö l?environnement non sÇlectionnÇe",1104
D118H,D118H = 1,Chronic health condition or pain,"Personnes en situation de handicap, maladie ou douleur chroniques",1105
D118H,D118H = 2,"Persons with a disability, chronic health condition or pain not selected","Personnes en situation de handicap, maladie ou douleur chroniques non sÇlectionnÇe",1106
D118I,D118I = 1,Cognitive disability,"Personnes en situation de handicap, trouble cognitif",1107
D118I,D118I = 2,"Persons with a disability, cognitive disability not selected","Personnes en situation de handicap, trouble cognitif non sÇlectionnÇe",1108
D118J,D118J = 1,Intellectual disability,"Personnes en situation de handicap, handicap intellectuel",1109
D118J,D118J = 2,"Persons with a disability, intellectual disability not selected","Personnes en situation de handicap, handicap intellectuel non sÇlectionnÇe",1110
D118K,D118K = 1,Other disability,"Personnes en situation de handicap, autre handicap",1111
D118K,D118K = 2,"Persons with a disability, other disability not selected","Personnes en situation de handicap, autre handicap non sÇlectionnÇe",1112
D118,D118 = 2,Not a person with a disability,Pas personnes en situation de handicap,1113
D119,D119 = 1,Indigenous,Autochtone,1114
D119A,D119A = 1,First Nations,Premiäres Nations,1115
D119B,D119B = 1,Inuk (Inuit),Inuk (Inuit),1116
D119C,D119C = 1,MÇtis,MÇtis,1117
D119,D119 = 2,Non-Indigenous,Non-Autochtones,1118
D120_2,D120_2 = 1,"Racialized, non-Indigenous population","RacisÇ, population non-autochtones",1119
D120_2,D120_2 = 2,"Non-racialized, non-Indigenous population","Non-racisÇ, population non-autochtones",1120
D120_1,D120_1 = 1,Black,Noir,1121
D120_1,D120_1 = 2,East/Southeast Asian,Est-asiatique / Asiatique du Sud-Est,1122
D120_1,D120_1 = 3,Latino/Latina/Latinx,Latino / Latina / Latinx,1123
D120_1,D120_1 = 4,Middle Eastern,Moyen-oriental,1124
D120_1,D120_1 = 5,South Asian,Sud-asiatique,1125
D120_1,D120_1 = 6,"Racialized group, not included elsewhere","Groupe racisÇ, non inclus ailleurs",1126
D120_1,D120_1 = 7,Multiple racialized groups,Groupes racisÇs multiples,1127
D120_1,D120_1 = 8,White,Blanche,1979
D121,D121 = 1,Eastern Africa,Afrique de l'Est,1128
D121,D121 = 2,Northern Africa ,Afrique du Nord,1129
D121,D121 = 3,Western Africa ,Afrique de l'Ouest,1130
D121,D121 = 4,Southern Africa,Afrique du Sud,1131
D121,D121 = 5,Middle Africa ,Afrique centrale,1132
D121,D121 = 6,Central America,AmÇrique centrale,1133
D121,D121 = 7,South America ,AmÇrique du Sud,1134
D121,D121 = 8,Central Asia ,Asie centrale,1135
D121,D121 = 9,Eastern Asia  ,Asie de l'Est,1136
D121,D121 = 10,Southern Asia ,Asie du Sud,1137
D121,D121 = 11,South-eastern Asia ,Asie du Sud-Est,1138
D121,D121 = 12,Western Asia ,Asie de l'Ouest,1139
D121,D121 = 13,Caribbean ,Caraãbes,1140
D121,D121 = 14,Eastern Europe ,Europe de l'Est,1141
D121,D121 = 15,Northern Europe ,Europe du Nord,1142
D121,D121 = 16,Southern Europe ,Europe du Sud,1143
D121,D121 = 17,Western Europe ,Europe de l'Ouest,1144
D121,D121 = 18,Oceania ,OcÇanie,1145
D121,D121 = 19,Ethnic Origin n.i.e.,Origine ethnique non incluse ailleurs,1146
D121,D121 = 20,"Two or more Ethnic Origins, Africa only","Deux origines ou plus, Afrique seulement",1147
D121,D121 = 21,"Two or more Ethnic Origins, Asia only","Deux origines ou plus, Asie seulement",1148
D121,D121 = 22,"Two or more Ethnic Origins, Europe only","Deux origines ou plus, Europe seulement",1149
D121,D121 = 23,"Two or more Ethnic Origins, Other","Deux origines ou plus, Autre",1150
D122,D122 = 1,Identifies as 2SLGBTQIA+,S'identifie comme 2ELGBTQIA+,1151
D122A,D122A = 1,2SLGBTQIA+: Two-spirit,2ELGBTQIA+ : Deux esprits,1152
D122B,D122B = 1,2SLGBTQIA+: Lesbian,2ELGBTQIA+ : Lesbienne,1153
D122C,D122C = 1,2SLGBTQIA+: Gay,2ELGBTQIA+ : Gaie,1154
D122D,D122D = 1,2SLGBTQIA+: Bisexual,2ELGBTQIA+ : Bisexuelle,1155
D122E,D122E = 1,2SLGBTQIA+: Transgender,2ELGBTQIA+ : Transgenre,1156
D122F,D122F = 1,2SLGBTQIA+: Queer,2ELGBTQIA+ : Queer,1157
D122G,D122G = 1,2SLGBTQIA+: Questioning,2ELGBTQIA+ : En questionnement,1158
D122H,D122H = 1,2SLGBTQIA+: Intersex,2ELGBTQIA+ : IntersexuÇe,1159
D122I,D122I = 1,2SLGBTQIA+: Asexual,2ELGBTQIA+ : Asexuelle,1160
D122J,D122J = 1,2SLGBTQIA+: Another identity,2ELGBTQIA+ : Autre identitÇ,1161
D122,D122 = 2,Does not identify as 2SLGBTQIA+,Ne s'identifie pas comme 2ELGBTQIA+,1162
GRPCODE,GRPCODE = 001,AB,AB,1163
OCCLEVEL,OCCLEVEL = 1,AB-02,AB-02,1164
OCCLEVEL,OCCLEVEL = 2,AB-03,AB-03,1165
OCCLEVEL,OCCLEVEL = 3,AB-04,AB-04,1166
OCCLEVEL,OCCLEVEL = 4,AB-05,AB-05,1167
OCCLEVEL,OCCLEVEL = 5,AB-06,AB-06,1168
OCCLEVEL,OCCLEVEL = 6,AB-07,AB-07,1169
OCCLEVEL,OCCLEVEL = 7,AB-08,AB-08,1170
OCCLEVEL,OCCLEVEL = 8,AB-09,AB-09,1171
OCCLEVEL,OCCLEVEL = 9,AB-10,AB-10,1172
OCCLEVEL,OCCLEVEL = 10,AB-11,AB-11,1173
OCCLEVEL,OCCLEVEL = 11,AB-12,AB-12,1174
OCCLEVEL,OCCLEVEL = 12,AB-13,AB-13,1175
OCCLEVEL,OCCLEVEL = 13,AB-14,AB-14,1176
GRPCODE,GRPCODE = 002,AC,AC,1177
OCCLEVEL,OCCLEVEL = 14,AC-01,AC-01,1178
OCCLEVEL,OCCLEVEL = 15,AC-02,AC-02,1179
OCCLEVEL,OCCLEVEL = 16,AC-03,AC-03,1180
GRPCODE,GRPCODE = 003,AD(NFB),AD(ONF),1181
OCCLEVEL,OCCLEVEL = 17,AD(NFB)-05,AD(ONF)-05,1182
OCCLEVEL,OCCLEVEL = 18,AD(NFB)-06,AD(ONF)-06,1183
OCCLEVEL,OCCLEVEL = 19,AD(NFB)-07,AD(ONF)-07,1184
OCCLEVEL,OCCLEVEL = 20,AD(NFB)-08,AD(ONF)-08,1185
OCCLEVEL,OCCLEVEL = 21,AD(NFB)-09,AD(ONF)-09,1186
OCCLEVEL,OCCLEVEL = 22,AD(NFB)-10,AD(ONF)-10,1187
OCCLEVEL,OCCLEVEL = 23,AD(NFB)-11,AD(ONF)-11,1188
OCCLEVEL,OCCLEVEL = 24,AD(NFB)-12,AD(ONF)-12,1189
GRPCODE,GRPCODE = 004,AD(NRC),AD(CNRC),1190
OCCLEVEL,OCCLEVEL = 25,AD(NRC)-02,AD(CNRC)-02,1191
OCCLEVEL,OCCLEVEL = 26,AD(NRC)-03,AD(CNRC)-03,1192
OCCLEVEL,OCCLEVEL = 27,AD(NRC)-04,AD(CNRC)-04,1193
GRPCODE,GRPCODE = 005,AG,AG,1194
OCCLEVEL,OCCLEVEL = 28,AG-02,AG-02,1195
OCCLEVEL,OCCLEVEL = 29,AG-03,AG-03,1196
OCCLEVEL,OCCLEVEL = 30,AG-04,AG-04,1197
GRPCODE,GRPCODE = 006,AI,AI,1198
OCCLEVEL,OCCLEVEL = 31,AI-06,AI-06,1199
OCCLEVEL,OCCLEVEL = 32,AI-07,AI-07,1200
GRPCODE,GRPCODE = 007,AO,AO,1201
OCCLEVEL,OCCLEVEL = 33,AO-00,AO-00,1202
OCCLEVEL,OCCLEVEL = 34,AO-01,AO-01,1203
OCCLEVEL,OCCLEVEL = 35,AO-02,AO-02,1204
OCCLEVEL,OCCLEVEL = 36,AO-03,AO-03,1205
OCCLEVEL,OCCLEVEL = 37,AO-04,AO-04,1206
OCCLEVEL,OCCLEVEL = 38,AO-05,AO-05,1207
GRPCODE,GRPCODE = 008,AP-FIN,AP-FIN,1208
OCCLEVEL,OCCLEVEL = 39,AP-FIN-01,AP-FIN-01,1209
OCCLEVEL,OCCLEVEL = 40,AP-FIN-02,AP-FIN-02,1210
OCCLEVEL,OCCLEVEL = 41,AP-FIN-03,AP-FIN-03,1211
OCCLEVEL,OCCLEVEL = 42,AP-FIN-04,AP-FIN-04,1212
OCCLEVEL,OCCLEVEL = 43,AP-FIN-05,AP-FIN-05,1213
GRPCODE,GRPCODE = 009,AP-VFM,AP-VFM,1214
OCCLEVEL,OCCLEVEL = 44,AP-VFM-01,AP-VFM-01,1215
OCCLEVEL,OCCLEVEL = 45,AP-VFM-02,AP-VFM-02,1216
OCCLEVEL,OCCLEVEL = 46,AP-VFM-03,AP-VFM-03,1217
OCCLEVEL,OCCLEVEL = 47,AP-VFM-04,AP-VFM-04,1218
OCCLEVEL,OCCLEVEL = 48,AP-VFM-05,AP-VFM-05,1219
GRPCODE,GRPCODE = 010,AR,AR,1220
OCCLEVEL,OCCLEVEL = 49,AR-02,AR-02,1221
OCCLEVEL,OCCLEVEL = 50,AR-03,AR-03,1222
